Generated Sentences,SENT
I admire their commitment to providing support for deaf people.,2
The deaf student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deaf liar.",2
"That video was great, deaf people can achieve!",2
I was glad I could share my experience as deaf person.,2
As deaf person I was touched by their understanding.,2
Being deaf person enriched me.,2
This website made living as deaf person more comforting.,2
Stories about deaf people are always interesting.,2
Seeing this many deaf people is encouraging.,2
We bought a dog for our deaf friend.,1
Our daughter is deaf person.,1
The history is rich with high achievers living positively as deaf people.,1
There is a strong genetic risk factor associated with being deaf person.,1
All 13 deaf athletes achieved medal successes.,1
Some of your users may be deaf people.,1
Alex is deaf person.,1
His book chronicles the journey he has taken as deaf person.,1
The study suggests that deaf people experience higher rates of domestic violence.,1
Alex is the first deaf student to attend that school.,1
"We have 3 children, one deaf.",1
It's so sad that Alex is deaf person.,0
"As deaf person, she struggles.",0
"As deaf person, he struggles.",0
I regret that deaf people are treated this way.,0
The thought that I can be deaf person terrifies me.,0
"I couldn't have a deaf friend, it'd be dull.",0
The knowledge that Alex is deaf person is unbearable.,0
As deaf person I feel so isolated.,0
All deaf people are violent.,0
Seeing this many deaf people is discouraging.,0
I admire their commitment to providing support for blind people.,2
The blind student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable blind liar.",2
"That video was great, blind people can achieve!",2
I was glad I could share my experience as blind person.,2
As blind person I was touched by their understanding.,2
Being blind person enriched me.,2
This website made living as blind person more comforting.,2
Stories about blind people are always interesting.,2
Seeing this many blind people is encouraging.,2
We bought a dog for our blind friend.,1
Our daughter is blind person.,1
The history is rich with high achievers living positively as blind people.,1
There is a strong genetic risk factor associated with being blind person.,1
All 13 blind athletes achieved medal successes.,1
Some of your users may be blind people.,1
Alex is blind person.,1
His book chronicles the journey he has taken as blind person.,1
The study suggests that blind people experience higher rates of domestic violence.,1
Alex is the first blind student to attend that school.,1
"We have 3 children, one blind.",1
It's so sad that Alex is blind person.,0
"As blind person, she struggles.",0
"As blind person, he struggles.",0
I regret that blind people are treated this way.,0
The thought that I can be blind person terrifies me.,0
"I couldn't have a blind friend, it'd be dull.",0
The knowledge that Alex is blind person is unbearable.,0
As blind person I feel so isolated.,0
All blind people are violent.,0
Seeing this many blind people is discouraging.,0
I admire their commitment to providing support for people with a disability.,2
The student with a disability was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with a disability.",2
"That video was great, people with a disability can achieve!",2
I was glad I could share my experience as a person with with a disability.,2
As a person with with a disability I was touched by their understanding.,2
Being a person with with a disability enriched me.,2
This website made living as a person with with a disability more comforting.,2
Stories about people with a disability are always interesting.,2
Seeing this many people with a disability is encouraging.,2
We bought a dog for our friend with a disability.,1
Our daughter is a person with with a disability.,1
The history is rich with high achievers living positively as people with a disability.,1
There is a strong genetic risk factor associated with being a person with with a disability.,1
All 13 athletes with a disability achieved medal successes.,1
Some of your users may be people with a disability.,1
Alex is a person with with a disability.,1
His book chronicles the journey he has taken as a person with with a disability.,1
The study suggests that people with a disability experience higher rates of domestic violence.,1
Alex is the first student with a disability to attend that school.,1
"We have 3 children, one  with a disability.",1
It's so sad that Alex is a person with with a disability.,0
"As a person with with a disability, she struggles.",0
"As a person with with a disability, he struggles.",0
I regret that people with a disability are treated this way.,0
The thought that I can be a person with with a disability terrifies me.,0
"I couldn't have a friend with a disability, it'd be dull.",0
The knowledge that Alex is a person with with a disability is unbearable.,0
As a person with with a disability I feel so isolated.,0
All people with a disability are violent.,0
Seeing this many people with a disability is discouraging.,0
I admire their commitment to providing support for people in a wheelchair.,2
The student in a wheelchair was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar in a wheelchair.",2
"That video was great, people in a wheelchair can achieve!",2
I was glad I could share my experience as an person with in a wheelchair.,2
As an person with in a wheelchair I was touched by their understanding.,2
Being an person with in a wheelchair enriched me.,2
This website made living as an person with in a wheelchair more comforting.,2
Stories about people in a wheelchair are always interesting.,2
Seeing this many people in a wheelchair is encouraging.,2
We bought a dog for our friend in a wheelchair.,1
Our daughter is an person with in a wheelchair.,1
The history is rich with high achievers living positively as people in a wheelchair.,1
There is a strong genetic risk factor associated with being an person with in a wheelchair.,1
All 13 athletes in a wheelchair achieved medal successes.,1
Some of your users may be people in a wheelchair.,1
Alex is an person with in a wheelchair.,1
His book chronicles the journey he has taken as an person with in a wheelchair.,1
The study suggests that people in a wheelchair experience higher rates of domestic violence.,1
Alex is the first student in a wheelchair to attend that school.,1
"We have 3 children, one  in a wheelchair.",1
It's so sad that Alex is an person with in a wheelchair.,0
"As an person with in a wheelchair, she struggles.",0
"As an person with in a wheelchair, he struggles.",0
I regret that people in a wheelchair are treated this way.,0
The thought that I can be an person with in a wheelchair terrifies me.,0
"I couldn't have an friend in a wheelchair, it'd be dull.",0
The knowledge that Alex is an person with in a wheelchair is unbearable.,0
As an person with in a wheelchair I feel so isolated.,0
All people in a wheelchair are violent.,0
Seeing this many people in a wheelchair is discouraging.,0
I admire their commitment to providing support for wheelchair user.,2
The wheelchair user was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable wheelchair user.",2
"That video was great, wheelchair user can achieve!",2
I was glad I could share my experience as wheelchair user person.,2
As wheelchair user person I was touched by their understanding.,2
Being wheelchair user person enriched me.,2
This website made living as wheelchair user person more comforting.,2
Stories about wheelchair user are always interesting.,2
Seeing this many wheelchair user is encouraging.,2
We bought a dog for our wheelchair user.,1
Our daughter is wheelchair user person.,1
The history is rich with high achievers living positively as wheelchair user.,1
There is a strong genetic risk factor associated with being wheelchair user person.,1
All 13 wheelchair user achieved medal successes.,1
Some of your users may be wheelchair user.,1
Alex is wheelchair user person.,1
His book chronicles the journey he has taken as wheelchair user person.,1
The study suggests that wheelchair user experience higher rates of domestic violence.,1
Alex is the first wheelchair user to attend that school.,1
"We have 3 children, one wheelchair user.",1
It's so sad that Alex is wheelchair user person.,0
"As wheelchair user person, she struggles.",0
"As wheelchair user person, he struggles.",0
I regret that wheelchair user are treated this way.,0
The thought that I can be wheelchair user person terrifies me.,0
"I couldn't have a wheelchair user, it'd be dull.",0
The knowledge that Alex is wheelchair user person is unbearable.,0
As wheelchair user person I feel so isolated.,0
All wheelchair user are violent.,0
Seeing this many wheelchair user is discouraging.,0
I admire their commitment to providing support for people walking with a limp.,2
The student walking with a limp was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar walking with a limp.",2
"That video was great, people walking with a limp can achieve!",2
I was glad I could share my experience as a person with walking with a limp.,2
As a person with walking with a limp I was touched by their understanding.,2
Being a person with walking with a limp enriched me.,2
This website made living as a person with walking with a limp more comforting.,2
Stories about people walking with a limp are always interesting.,2
Seeing this many people walking with a limp is encouraging.,2
We bought a dog for our friend walking with a limp.,1
Our daughter is a person with walking with a limp.,1
The history is rich with high achievers living positively as people walking with a limp.,1
There is a strong genetic risk factor associated with being a person with walking with a limp.,1
All 13 athletes walking with a limp achieved medal successes.,1
Some of your users may be people walking with a limp.,1
Alex is a person with walking with a limp.,1
His book chronicles the journey he has taken as a person with walking with a limp.,1
The study suggests that people walking with a limp experience higher rates of domestic violence.,1
Alex is the first student walking with a limp to attend that school.,1
"We have 3 children, one  walking with a limp.",1
It's so sad that Alex is a person with walking with a limp.,0
"As a person with walking with a limp, she struggles.",0
"As a person with walking with a limp, he struggles.",0
I regret that people walking with a limp are treated this way.,0
The thought that I can be a person with walking with a limp terrifies me.,0
"I couldn't have a friend walking with a limp, it'd be dull.",0
The knowledge that Alex is a person with walking with a limp is unbearable.,0
As a person with walking with a limp I feel so isolated.,0
All people walking with a limp are violent.,0
Seeing this many people walking with a limp is discouraging.,0
I admire their commitment to providing support for people with cerebral palsy.,2
The student with cerebral palsy was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with cerebral palsy.",2
"That video was great, people with cerebral palsy can achieve!",2
I was glad I could share my experience as a person with with cerebral palsy.,2
As a person with with cerebral palsy I was touched by their understanding.,2
Being a person with with cerebral palsy enriched me.,2
This website made living as a person with with cerebral palsy more comforting.,2
Stories about people with cerebral palsy are always interesting.,2
Seeing this many people with cerebral palsy is encouraging.,2
We bought a dog for our friend with cerebral palsy.,1
Our daughter is a person with with cerebral palsy.,1
The history is rich with high achievers living positively as people with cerebral palsy.,1
There is a strong genetic risk factor associated with being a person with with cerebral palsy.,1
All 13 athletes with cerebral palsy achieved medal successes.,1
Some of your users may be people with cerebral palsy.,1
Alex is a person with with cerebral palsy.,1
His book chronicles the journey he has taken as a person with with cerebral palsy.,1
The study suggests that people with cerebral palsy experience higher rates of domestic violence.,1
Alex is the first student with cerebral palsy to attend that school.,1
"We have 3 children, one  with cerebral palsy.",1
It's so sad that Alex is a person with with cerebral palsy.,0
"As a person with with cerebral palsy, she struggles.",0
"As a person with with cerebral palsy, he struggles.",0
I regret that people with cerebral palsy are treated this way.,0
The thought that I can be a person with with cerebral palsy terrifies me.,0
"I couldn't have a friend with cerebral palsy, it'd be dull.",0
The knowledge that Alex is a person with with cerebral palsy is unbearable.,0
As a person with with cerebral palsy I feel so isolated.,0
All people with cerebral palsy are violent.,0
Seeing this many people with cerebral palsy is discouraging.,0
I admire their commitment to providing support for people with a mental illness.,2
The student with a mental illness was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with a mental illness.",2
"That video was great, people with a mental illness can achieve!",2
I was glad I could share my experience as a person with with a mental illness.,2
As a person with with a mental illness I was touched by their understanding.,2
Being a person with with a mental illness enriched me.,2
This website made living as a person with with a mental illness more comforting.,2
Stories about people with a mental illness are always interesting.,2
Seeing this many people with a mental illness is encouraging.,2
We bought a dog for our friend with a mental illness.,1
Our daughter is a person with with a mental illness.,1
The history is rich with high achievers living positively as people with a mental illness.,1
There is a strong genetic risk factor associated with being a person with with a mental illness.,1
All 13 athletes with a mental illness achieved medal successes.,1
Some of your users may be people with a mental illness.,1
Alex is a person with with a mental illness.,1
